attacker,bot_type,categories,sandwich_count,usd_profit_net,usd_avg_profit,sol_profit_net,fee_sol_total,win_rate,sol_win_rate,mean_slippage_consumption,slippage_coverage,front_gap_median,front_gap_eq1_ratio,in_block_count,cross_block_count,cross_leader_count,multi_split_count,jito_bundle_count,first_slot,last_slot,expert_verdict,n_signing_keys
GKCUHMsiadxpiFkEw4dFbEfrXJ7gUU4dc5dGRs1Eon5U,Signal Bot,standard,140,1024.1199720400039,7.315142657428599,12.759177088000069,0.006013,0.8985507246376812,0.8947368421052632,0.9662087433721871,0.9,60.5,0.05,8,132,73,0,0,420382956,421220108,yes,1
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,Jito Bot,standard,62,1006.6457875999989,16.236222380645145,12.583072344999987,0.009734,1.0,1.0,0.9486389419547592,0.9516129032258065,1.0,0.9193548387096774,62,0,0,0,49,410884836,428075178,not_audited,1
22EZM6Z1KcAuKeGDK4D9uyaLK8s9DtndsTfQvVVhY1vf,Signal Bot,standard,273,979.5698649599809,3.5881680035164134,12.244623311999762,0.0036036,0.9389312977099237,0.9389312977099237,0.9411307842776946,0.9560439560439561,63.0,0.047619047619047616,0,273,203,0,0,412237861,423654122,yes,1
7fS8dbos3yDH3SA3pgSbHPDcyrpB7mFh2asn1ajxDjh3,Signal Bot,standard,135,977.0228295808865,7.237206145043604,10.454169515999869,0.22993199400000003,0.9090909090909091,0.9310344827586207,0.9395278006698317,0.9259259259259259,60.0,0.007407407407407408,11,124,61,0,0,409886033,409902692,yes,1
EpxkAcSi29vtEzSfhBigJ9zoCKsYySY46VM4fdtCUcpy,Jito Bot,standard,262,972.8644499200016,3.7132230912977158,12.16080562400002,0.041134,1.0,1.0,0.7960562738422245,1.0,1.0,0.8702290076335878,262,0,0,0,200,420896823,420934100,not_audited,1
7jkK6JjZXjTjeiDZ9NjdYNvScBEjZkPjV6Kwvr7GxscN,Signal Bot,standard,139,962.4192274835998,6.923879334414387,12.030240343544998,0.005977676,0.9921259842519685,0.9921259842519685,0.9584220258801088,0.935251798561151,70.0,0.02158273381294964,30,109,44,0,0,410993286,411200763,yes,1
CbrNhxXkYQqc4uefAYCfBW9UJELGsZGGZtpdpPZmBB1P,Signal Bot,standard,173,912.9100218400125,5.276936542427818,11.411375273000157,0.094655239,0.9150326797385621,0.9150326797385621,0.9371075532779772,0.9364161849710982,60.0,0.07514450867052024,0,173,126,0,0,408672934,411899401,yes,1
DULTXqjYWJbqbdzS8QCmjhDaq1vyc2qSTDyrwR7Nti9M,Signal Bot,standard,238,898.2413966800001,3.7741235154621853,11.126139104999973,0.267174407,0.9563318777292577,0.9553571428571429,0.9656747489804353,0.8991596638655462,43.5,0.07142857142857142,32,206,136,0,0,408789794,423593703,yes,1
KKKzQmS38mSxHu7AaasGghGgVqoEt2DS8M5AcBMVK3j,Signal Bot,standard,2038,891.0750841510704,0.43723016886706106,11.138438551888381,0.020380000000000002,0.9881364310430054,0.9881364310430054,0.9988557490324396,0.8557409224730128,1.0,0.992639842983317,2015,23,0,0,0,408674133,421594771,yes,1
2mcD6fJFbkitCjePErPw4kMewXSmKFTf169c7CZXrUwe,Signal Bot,standard,249,889.0185872799949,3.570355772208815,11.112732340999937,0.081229,0.8634538152610441,0.8634538152610441,0.9187860568957043,0.8795180722891566,16.0,0.14859437751004015,97,152,35,0,0,408719430,428004570,yes,1
