front_signer,epoch,n,victims,usd
CeaSnsQJAeBwWkHqV76nE3DMH28FYv5z6hNa1NbE6dQq,958,1,2,-0.1258723723761035
ChTaZP9rFS6Wgn2AT8jXczQ6kbdJGRw7my6m1DHh5gL1,955,1,2,-0.0011138084834674822
Chvm3FEu33NhXok7PdLSBsXwUA6VuQN3KCAkmHjFZ2bW,959,1,2,-0.06219450903639956
CirBC7fdJmvRFnX6biDRVyTZs1LZBF2iTH1DmZT7VYyE,957,1,2,-0.07716203591473292
CjzJwU93xic2hwckGj6vgSQKGpuEkdZWiDbE9KbpHyRv,952,1,1,0.022703564143207178
BwFyBszY99y6fn8zPH6k4BwCtwN9LL5AfUakAJNpGDVj,957,1,2,-0.04727318963816618
CmWmASPQ3nCVrpJapwwYa7ggzc8zPrZfCJp6FX9z2GJe,958,1,1,0.00033231997259935975
CoWuxPzmnDv5gtQaY5dqhiGPrHdcNNiBxdcKabG4g8cK,948,1,1,-0.013195964003711591
CooV4xDXkQ26KKv1jmwaYiqwoMDSjPksn5opUcyvUCLp,951,1,1,-0.06478146244300653
CouZs3qPU816rjBHmkjJyE9HNo9WWEDrGFLyL2P3Am2V,957,1,1,-0.009310081325510644
CppKyzsceEJF47ppPm6nh43t2yk5XydHDxxepPGRcc7o,953,1,1,-0.32050344363376837
F25fnCFzpCQojpQboEYTFULeqrMkYCSeaQirvcnwdZfg,950,1,2,-0.13089902261226527
Cs5LXkUNSdioMmu6fKyNVMaRB39SANkvVrDKfvEZZv8g,958,1,2,-0.003158813979977637
CvZNmovMNawFHLRpfhzJ2tsfWpoAa9aSEbpLyPB65rrg,958,1,1,-0.046997927891347935
CwP9EBTBgAe391L7aXNzCCpHk2d5hBXo2HrDJkuosZ2v,958,1,2,-0.01826676854481457
CzxzavcfusAPyS5zN4sa5Tz6wCBcg6eXnUjSU8qAhaSC,950,1,1,-0.02960452277361303
D1um8XKsVejF6WrQoX4TPeAd2U9SHhcoD8u2HRthwUSN,958,1,1,-0.003007947386452353
CkF99sLDceEdqC3Me7XEnUhkk8m4Tk8KKei98iSdbcJZ,958,1,1,-0.07331648407516766
